time_period,value,anomaly,upper_value,lower_value,key1,feedback_flag
2/1/21,1610296.53,0,3076267.48,1029590.71,California,TRUE
2/2/21,2896681.32,0,2975331.69,928654.93,California,TRUE
2/3/21,1645907.96,0,3035540.67,988863.91,California,TRUE
2/4/21,3213809.47,1,3203688.33,1157011.57,California,TRUE
2/5/21,1571814.3,0,3158227.93,1111551.16,California,TRUE
2/6/21,1597159.91,0,2836946,790269.24,California,TRUE
2/7/21,2450973.47,0,2879482.44,832805.68,California,TRUE
2/8/21,1353596.22,0,2710566.88,663890.11,California,TRUE
2/9/21,1005597.38,0,2554932.21,508255.45,California,TRUE
2/10/21,1772380.62,0,2698695.84,652019.08,California,TRUE
2/11/21,1886158.76,0,2609430.01,562753.25,California,TRUE
2/12/21,1150439.92,0,2708535.4,661858.63,California,TRUE
2/13/21,2168905.85,0,2895465.83,848789.06,California,TRUE
2/14/21,1489755.98,0,2843149.19,796472.43,California,TRUE
2/15/21,2108856.45,0,2944014.15,897337.39,California,TRUE
2/16/21,2671999.9,0,2918603.55,871926.79,California,TRUE
2/17/21,1234881.75,0,2798163.79,751487.03,California,TRUE
2/18/21,2446971.75,0,2787102.59,740425.83,California,TRUE
2/19/21,1640633.99,0,2644907.7,598230.94,California,TRUE
2/20/21,891228.03,0,2440864.02,394187.26,California,TRUE
2/21/21,1075970.92,0,2488788.03,442111.27,California,TRUE
2/22/21,1175014.75,0,2392457.98,345781.21,California,TRUE
2/23/21,1601583.65,0,2440223.81,393547.04,California,TRUE
2/24/21,1399067.4,0,2604841.39,558164.63,California,TRUE
2/25/21,1627419.64,0,2783416.35,736739.58,California,TRUE
2/26/21,2643063.07,0,2895380.57,848703.81,California,TRUE
2/27/21,1608951.63,0,2897815.58,851138.82,California,TRUE
2/28/21,1989638.94,0,2972283.26,925606.5,California,TRUE
3/1/21,2020286.85,0,2974363.52,927686.76,California,TRUE
3/2/21,1976518.24,0,2591274.43,544597.67,California,TRUE
3/3/21,1749058.74,0,2683374.38,636697.62,California,TRUE
3/4/21,1496739.72,0,2606083.26,559406.49,California,TRUE
3/5/21,629507.72,0,2503562.28,456885.52,California,TRUE
3/6/21,1819051.79,0,2578957.09,532280.33,California,TRUE
3/7/21,1112244.37,0,2541076.15,494399.39,California,TRUE
3/8/21,1364162.57,0,2492500.56,445823.79,California,TRUE
3/9/21,2862171.43,1,2521903.65,475226.88,California,TRUE
3/10/21,1312609.72,0,2615813.38,569136.62,California,TRUE
3/11/21,1011468.84,0,2673218.51,626541.74,California,TRUE
3/12/21,1503397.61,0,2672966.62,626289.85,California,TRUE
3/13/21,2041820.46,0,2509966.01,463289.24,California,TRUE
3/14/21,1177723.54,0,2731423.28,684746.51,California,TRUE
3/15/21,1423921.89,0,2795185.82,748509.06,California,TRUE
3/16/21,2079056.69,0,2609228.71,562551.94,California,TRUE
3/17/21,2691528.18,1,2609937.61,563260.84,California,TRUE
3/18/21,1312564.91,0,2658703.59,612026.82,California,TRUE
3/19/21,869766.1,0,2678897.8,632221.03,California,TRUE
3/20/21,1612183.27,0,2512494.71,465817.94,California,TRUE
3/21/21,1182728.72,0,2384843.03,338166.26,California,TRUE
3/22/21,1626803.87,0,2391048.62,344371.86,California,TRUE
3/23/21,1272124.57,0,2460415,413738.24,California,TRUE
3/24/21,1626684.01,0,2588167.7,541490.94,California,TRUE
3/25/21,1210762.35,0,2805625.28,758948.51,California,TRUE
3/26/21,2023399.02,0,2857585.09,810908.32,California,TRUE
3/27/21,2071852.69,0,2858814.58,812137.81,California,TRUE
3/28/21,2368575.05,0,2911163.86,864487.1,California,TRUE
3/29/21,2052045.08,0,2991760.38,945083.61,California,TRUE
3/30/21,1638620.52,0,2823978.52,777301.75,California,TRUE
3/31/21,1821846.6,0,2807031.33,760354.56,California,TRUE
4/1/21,1629696.22,0,2671640.82,624964.05,California,TRUE
4/2/21,1516994.27,0,2723738.69,677061.92,California,TRUE
4/3/21,1518622.87,0,2691110.39,644433.62,California,TRUE
4/4/21,1084484.8,0,2668351.07,621674.3,California,TRUE
4/5/21,2478252.69,0,2668851.17,622174.41,California,TRUE
4/6/21,1768111.93,0,2546876.83,500200.07,California,TRUE
4/7/21,1491248.96,0,2687986.17,641309.4,California,TRUE
4/8/21,1487955.23,0,2927483.99,880807.23,California,TRUE
4/9/21,1331242.15,0,2792746.7,746069.93,California,TRUE
4/10/21,2071788.73,0,2633048.27,586371.5,California,TRUE
4/11/21,2424612.89,0,2851961.81,805285.04,California,TRUE
4/12/21,1596614.16,0,2796079.43,749402.66,California,TRUE
4/13/21,1008112.42,0,2646138.25,599461.48,California,TRUE
4/14/21,2852361.33,1,2588941.07,542264.3,California,TRUE
4/15/21,951536.84,0,2599911.61,553234.85,California,TRUE
4/16/21,949722.15,0,2562492.9,515816.13,California,TRUE
4/17/21,1236809,0,2560497.93,513821.16,California,TRUE
4/18/21,2165050.02,0,2453686.8,407010.04,California,TRUE
4/19/21,1396205.71,0,2496950.73,450273.97,California,TRUE
4/20/21,1352037.14,0,2563890.11,517213.34,California,TRUE
4/21/21,1933401.01,0,2625852.73,579175.96,California,TRUE
4/22/21,1109142.63,0,2603687.28,557010.51,California,TRUE
4/23/21,2086366.04,0,2509865.63,463188.86,California,TRUE
4/24/21,1235947.85,0,2517999.41,471322.65,California,TRUE
4/25/21,1673535.18,0,2593693.35,547016.59,California,TRUE
4/26/21,800976.71,0,2622452.61,575775.84,California,TRUE
4/27/21,1766863.14,0,2415881.61,369204.84,California,TRUE
4/28/21,2291976.17,0,2539752.26,493075.49,California,TRUE
4/29/21,1165215.69,0,2571906.77,525230,California,TRUE
4/30/21,1308437.3,0,2614886.09,568209.33,California,TRUE
5/1/21,1668442.93,0,2524917.32,478240.55,California,TRUE
5/2/21,1562260.06,0,2665272.51,618595.75,California,TRUE
5/3/21,1163354.54,0,2697225.1,650548.34,California,TRUE
5/4/21,1494971.23,0,2636100.22,589423.46,California,TRUE
5/5/21,3103180.1,1,2698012.3,651335.53,California,TRUE
5/6/21,1243642.09,0,2767542.22,720865.45,California,TRUE
5/7/21,1548631.42,0,2774448.27,727771.5,California,TRUE
5/8/21,1667227.95,0,2750545.37,703868.61,California,TRUE
5/9/21,1712612.81,0,2526370.31,479693.54,California,TRUE
5/10/21,1273219.43,0,2619349.6,572672.83,California,TRUE
5/11/21,1685540.49,0,2606536.99,559860.23,California,TRUE
5/12/21,1362672.22,0,2580899.92,534223.15,California,TRUE
5/13/21,1749255.41,0,2595431.08,548754.31,California,TRUE
5/14/21,2127011.45,0,2579472.23,532795.47,California,TRUE
5/15/21,1053168.92,0,2500428.85,453752.08,California,TRUE
5/16/21,1477974.25,0,2538473.5,491796.74,California,TRUE
5/17/21,1223030.06,0,2513643.99,466967.22,California,TRUE
5/18/21,1490126.29,0,2422003.49,375326.73,California,TRUE
5/19/21,1457702.4,0,2588920.66,542243.89,California,TRUE
5/20/21,1430207.09,0,2667117.18,620440.42,California,TRUE
5/21/21,2153596.23,0,2755171.08,708494.31,California,TRUE
5/22/21,1786989.6,0,2737880.15,691203.39,California,TRUE
5/23/21,1688993.24,0,2806319.16,759642.39,California,TRUE
5/24/21,1900929.87,0,2835329.12,788652.35,California,TRUE
5/25/21,1726979.33,0,2638984.86,592308.09,California,TRUE
5/26/21,1765493.02,0,2669282.11,622605.35,California,TRUE
5/27/21,1488035.08,0,2915825.72,869148.95,California,TRUE
5/28/21,1447254.67,0,2769045.73,722368.96,California,TRUE
5/29/21,1564470.89,0,2654219.84,607543.07,California,TRUE
5/30/21,3078441.79,1,2541971.1,495294.33,California,TRUE
5/31/21,934992.48,0,2642880.08,596203.32,California,TRUE
6/1/21,1281087.61,0,2577956.86,531280.09,California,TRUE
6/2/21,808469.41,0,2774846.03,728169.27,California,TRUE
6/3/21,2049156.26,0,2696825.24,650148.47,California,TRUE
6/4/21,1660860.38,0,2852071.12,805394.35,California,TRUE
6/5/21,2508095.6,0,2867150.37,820473.6,California,TRUE
6/6/21,2195939.54,0,2917816.73,871139.97,California,TRUE
6/7/21,2083236.21,0,2956294.36,909617.59,California,TRUE
6/8/21,1744531.85,0,2826382.42,779705.65,California,TRUE
6/9/21,991851.56,0,2678157.23,631480.46,California,TRUE
6/10/21,2173257.9,0,2654387.7,607710.93,California,TRUE
6/11/21,1419545.08,0,2512259.55,465582.79,California,TRUE
6/12/21,1035919.76,0,2340068.76,293392,California,TRUE
6/13/21,1693196.14,0,2526107.39,479430.62,California,TRUE
6/14/21,1149861.76,0,2480399.41,433722.64,California,TRUE
6/15/21,897085.81,0,2651799.99,605123.22,California,TRUE
6/16/21,2122839.54,0,2851204.46,804527.69,California,TRUE
6/17/21,1708060.3,0,3009670.92,962994.16,California,TRUE
6/18/21,3287417.4,1,2989345.86,942669.1,California,TRUE
6/19/21,1997151.55,0,3022305.97,975629.2,California,TRUE
6/20/21,2466104.73,0,3066443.89,1019767.12,California,TRUE
6/21/21,1069108.87,0,3109110.8,1062434.03,California,TRUE
6/22/21,1485696.08,0,2749252.8,702576.03,California,TRUE
6/23/21,2260522.54,0,2663038.79,616362.02,California,TRUE
6/24/21,1861486.94,0,2670831.76,624154.99,California,TRUE
6/25/21,1436479.69,0,2692348.2,645671.43,California,TRUE
6/26/21,959053.98,0,2638058.49,591381.72,California,TRUE
6/27/21,2184298.84,0,2635342.09,588665.33,California,TRUE
6/28/21,1281246.5,0,2651272.57,604595.81,California,TRUE
6/29/21,1463557.61,0,2503293.7,456616.94,California,TRUE
6/30/21,2070225.35,0,2727593.63,680916.87,California,TRUE
7/1/21,1827758.56,0,2671267.95,624591.18,California,TRUE
7/2/21,1068695.88,0,2713271.1,666594.33,California,TRUE
7/3/21,2094553.99,0,2693202.63,646525.87,California,TRUE
7/4/21,1453662.37,0,2572706.79,526030.02,California,TRUE
7/5/21,1636791.11,0,2469188.29,422511.52,California,TRUE
7/6/21,1680967.84,0,2445591.14,398914.38,California,TRUE
7/7/21,1055472.04,0,2725459.45,678782.69,California,TRUE
7/8/21,957887.32,0,2870768.7,824091.93,California,TRUE
7/9/21,1571584.12,0,2892768.61,846091.85,California,TRUE
7/10/21,3619032.67,1,2813332.66,766655.89,California,TRUE
7/11/21,2134470.43,0,2898033.15,851356.39,California,TRUE
7/12/21,1852313.04,0,3049367.07,1002690.3,California,TRUE
7/13/21,1482805.65,0,2916848.03,870171.26,California,TRUE
7/14/21,1477093.11,0,2630327.88,583651.12,California,TRUE
7/15/21,1871982.99,0,2584751.29,538074.52,California,TRUE
7/16/21,1312019.12,0,2449883.17,403206.4,California,TRUE
7/17/21,1178792.15,0,2423679.86,377003.09,California,TRUE
7/18/21,1479077.58,0,2448851.27,402174.5,California,TRUE
7/19/21,969758.76,0,2543939.77,497263.01,California,TRUE
7/20/21,1657271.96,0,2488210.03,441533.27,California,TRUE
7/21/21,1482010.57,0,2593729.39,547052.63,California,TRUE
7/22/21,2392360.79,0,2624644.87,577968.1,California,TRUE
7/23/21,1589979.22,0,2727369.5,680692.74,California,TRUE
7/24/21,1482828.17,0,2626831.32,580154.55,California,TRUE
7/25/21,1359129.23,0,2724790.14,678113.38,California,TRUE
7/26/21,1750353.75,0,2654638.72,607961.95,California,TRUE
7/27/21,1311394.17,0,2531160.11,484483.35,California,TRUE
7/28/21,1996439.94,0,2580838.99,534162.22,California,TRUE
7/29/21,1756059.09,0,2647211.39,600534.62,California,TRUE
7/30/21,1393697.25,0,2585079.53,538402.77,California,TRUE
