Date,State,Daily_Sales,Temperature,Fuel_Price,CPI,Unemployment,Holiday_Flag
2021-02-01,California,1610296.53,32.53,2.77,150.5,8.84,0
2021-02-01,Florida,1044395.77,37.2,2.57,200.61,7.55,0
2021-02-01,Ohio,1085410.27,22.87,2.82,157.34,8.03,0
2021-02-01,Texas,647356.29,39.26,2.71,163.0,9.68,0
2021-02-01,Virginia,645338.48,38.33,2.72,167.21,8.99,0
2021-02-02,California,2896681.32,32.53,2.77,150.5,8.84,0
2021-02-02,Florida,2356304.44,37.2,2.57,200.61,7.55,0
2021-02-02,Ohio,2468631.22,22.87,2.82,157.34,8.03,0
2021-02-02,Texas,2102570.2,39.26,2.71,163.0,9.68,0
2021-02-02,Virginia,1323171.89,38.33,2.72,167.21,8.99,0
2021-02-03,California,1645907.96,32.53,2.77,150.5,8.84,0
2021-02-03,Florida,2234510.04,37.2,2.57,200.61,7.55,0
2021-02-03,Ohio,914506.3,22.87,2.82,157.34,8.03,0
2021-02-03,Texas,1575380.36,39.26,2.71,162.99,9.68,0
2021-02-03,Virginia,1055663.43,38.33,2.72,167.2,8.99,0
2021-02-04,California,3213809.47,32.53,2.77,150.5,8.84,0
2021-02-04,Florida,1656688.68,37.2,2.57,200.61,7.55,0
2021-02-04,Ohio,2969978.29,22.87,2.82,157.35,8.03,0
2021-02-04,Texas,1152031.22,39.26,2.71,162.99,9.68,0
2021-02-04,Virginia,1250259.11,38.33,2.72,167.21,8.99,0
2021-02-05,California,1571814.3,32.53,2.77,150.51,8.84,0
2021-02-05,Florida,1539269.45,37.2,2.57,200.61,7.55,0
2021-02-05,Ohio,2993648.81,22.87,2.82,157.34,8.03,0
2021-02-05,Texas,1148114.07,39.26,2.71,163.0,9.68,0
2021-02-05,Virginia,1073378.12,38.33,2.72,167.21,8.99,0
2021-02-06,California,1597159.91,32.53,2.77,150.5,8.84,0
2021-02-06,Florida,1566454.36,37.2,2.57,200.61,7.55,0
2021-02-06,Ohio,1647556.85,22.87,2.82,157.34,8.03,0
2021-02-06,Texas,1536494.0,39.26,2.71,162.99,9.68,0
2021-02-06,Virginia,1227959.4,38.33,2.72,167.21,8.99,0
2021-02-07,California,2450973.47,32.71,2.75,150.57,8.84,0
2021-02-07,Florida,572367.97,36.72,2.55,200.74,7.55,0
2021-02-07,Ohio,1351094.18,24.84,2.8,157.43,8.03,0
2021-02-07,Texas,1195182.69,38.57,2.68,163.08,9.68,0
2021-02-07,Virginia,1238231.26,37.92,2.69,167.31,8.99,0
2021-02-08,California,1353596.22,32.71,2.75,150.58,8.84,0
2021-02-08,Florida,1610799.88,36.72,2.55,200.75,7.55,0
2021-02-08,Ohio,1351580.44,24.84,2.8,157.43,8.03,0
2021-02-08,Texas,1173744.28,38.57,2.68,163.08,9.68,0
2021-02-08,Virginia,943576.99,37.92,2.69,167.3,8.99,0
2021-02-09,California,1005597.38,32.71,2.75,150.57,8.84,0
2021-02-09,Florida,1855624.44,36.72,2.55,200.74,7.55,0
2021-02-09,Ohio,1795062.25,24.84,2.8,157.43,8.03,0
2021-02-09,Texas,975342.89,38.57,2.68,163.09,9.68,0
2021-02-09,Virginia,1082800.3,37.92,2.69,167.3,8.99,0
2021-02-10,California,1772380.62,32.71,2.75,150.57,8.84,0
2021-02-10,Florida,1473837.93,36.72,2.55,200.75,7.55,0
2021-02-10,Ohio,2161022.17,24.84,2.8,157.43,8.03,0
2021-02-10,Texas,533207.35,38.57,2.68,163.08,9.68,0
2021-02-10,Virginia,1093404.87,37.92,2.69,167.3,8.99,0
2021-02-11,California,1886158.76,32.71,2.75,150.58,8.84,0
2021-02-11,Florida,2077848.92,36.72,2.55,200.75,7.55,0
2021-02-11,Ohio,1990806.38,24.84,2.8,157.43,8.03,0
2021-02-11,Texas,1191544.35,38.57,2.68,163.08,9.68,0
2021-02-11,Virginia,1143324.88,37.92,2.69,167.3,8.99,0
2021-02-12,California,1150439.92,32.71,2.75,150.57,8.84,0
2021-02-12,Florida,1012381.3,36.72,2.55,200.74,7.55,0
2021-02-12,Ohio,1138197.14,24.84,2.8,157.42,8.03,0
2021-02-12,Texas,1705779.82,38.57,2.68,163.09,9.68,0
2021-02-12,Virginia,472048.19,37.92,2.69,167.3,8.99,0
2021-02-13,California,2168905.85,32.71,2.75,150.58,8.84,0
2021-02-13,Florida,1775636.23,36.72,2.55,200.74,7.55,0
2021-02-13,Ohio,1829198.02,24.84,2.8,157.43,8.03,0
2021-02-13,Texas,1406600.8,38.57,2.68,163.09,9.68,0
2021-02-13,Virginia,398379.53,37.92,2.69,167.3,8.99,0
2021-02-14,California,1489755.98,37.0,2.73,150.62,8.84,0
2021-02-14,Florida,1204397.1,39.7,2.52,200.78,7.55,0
2021-02-14,Ohio,2021584.9,29.19,2.78,157.48,8.03,0
2021-02-14,Texas,1026058.17,41.56,2.66,163.13,9.68,0
2021-02-14,Virginia,784877.45,41.15,2.67,167.34,8.99,0
2021-02-15,California,2108856.45,37.0,2.73,150.61,8.84,1
2021-02-15,Florida,2333725.84,39.7,2.52,200.79,7.55,1
2021-02-15,Ohio,1666585.41,29.19,2.78,157.48,8.03,1
2021-02-15,Texas,2118788.19,41.56,2.66,163.13,9.68,1
2021-02-15,Virginia,1760029.69,41.15,2.67,167.34,8.99,1
2021-02-16,California,2671999.9,37.0,2.73,150.62,8.84,0
2021-02-16,Florida,765982.38,39.7,2.52,200.78,7.55,0
2021-02-16,Ohio,1336202.59,29.19,2.77,157.47,8.03,0
2021-02-16,Texas,1293623.57,41.56,2.66,163.13,9.68,0
2021-02-16,Virginia,941119.0,41.15,2.67,167.34,8.99,0
2021-02-17,California,1234881.75,37.0,2.73,150.62,8.84,0
2021-02-17,Florida,1224609.1,39.7,2.52,200.79,7.55,0
2021-02-17,Ohio,1957343.23,29.19,2.78,157.47,8.03,0
2021-02-17,Texas,948981.49,41.56,2.66,163.13,9.68,0
2021-02-17,Virginia,688429.87,41.15,2.67,167.35,8.99,0
2021-02-18,California,2446971.75,37.0,2.73,150.62,8.84,0
2021-02-18,Florida,1275576.84,39.7,2.52,200.79,7.55,0
2021-02-18,Ohio,1497487.81,29.19,2.77,157.48,8.03,0
2021-02-18,Texas,868030.82,41.56,2.65,163.13,9.68,0
2021-02-18,Virginia,859385.22,41.15,2.67,167.34,8.99,0
2021-02-19,California,1640633.99,37.0,2.73,150.62,8.84,0
2021-02-19,Florida,2102455.08,39.7,2.52,200.79,7.55,0
2021-02-19,Ohio,1998096.24,29.19,2.77,157.48,8.03,0
2021-02-19,Texas,1641287.53,41.56,2.66,163.13,9.68,0
2021-02-19,Virginia,922776.84,41.15,2.67,167.34,8.99,0
2021-02-20,California,891228.03,37.0,2.73,150.62,8.84,0
2021-02-20,Florida,1517302.19,39.7,2.52,200.79,7.55,0
2021-02-20,Ohio,1588920.8,29.19,2.78,157.47,8.03,0
2021-02-20,Texas,859114.5,41.56,2.65,163.13,9.68,0
2021-02-20,Virginia,770226.4,41.15,2.67,167.35,8.99,0
2021-02-21,California,1075970.92,35.52,2.73,150.66,8.84,0
2021-02-21,Florida,1871155.82,42.95,2.57,200.82,7.55,0
2021-02-21,Ohio,2056275.81,33.68,2.78,157.53,8.03,0
2021-02-21,Texas,621649.17,42.68,2.66,163.17,9.68,0
2021-02-21,Virginia,367414.26,41.38,2.68,167.38,8.99,0
2021-02-22,California,1175014.75,35.52,2.73,150.66,8.84,0
