Date,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,Holiday_Flag,Anomaly,Sales_Amount_Upper,Sales_Amount_Lower,State
2021-02-05,10397622.73,37.2,2.58,200.61,7.55,0,0,11573691.83,9513064.59,Florida
2021-02-12,10378496.65,36.72,2.55,200.74,7.55,1,0,11032180.28,8971553.04,Florida
2021-02-19,10060556.61,39.7,2.52,200.79,7.55,0,0,10763335.98,8702708.74,Florida
2021-02-26,9128442.02,42.95,2.57,200.82,7.55,0,0,10904543.97,8843916.73,Florida
2021-03-05,9702505.2,46.52,2.63,200.85,7.55,0,0,10669330.07,8608702.83,Florida
2021-03-12,9399399.16,53.13,2.67,200.89,7.55,0,0,10392771.02,8332143.78,Florida
2021-03-19,9566215.78,51.8,2.72,200.76,7.55,0,0,10444143.3,8383516.05,Florida
2021-03-26,8794649.93,47.5,2.73,200.6,7.55,0,1,10902196.41,8841569.17,Florida
2021-04-02,10186289.79,59.07,2.72,200.44,7.38,0,0,10349494.11,8288866.86,Florida
2021-04-09,9659314.53,60.31,2.77,200.28,7.38,0,0,10144325.06,8083697.81,Florida
2021-04-16,9149143.85,62.14,2.8,200.17,7.38,0,0,10443179.34,8382552.09,Florida
2021-04-23,8929052.4,60.48,2.79,200.11,7.38,0,0,10494082.49,8433455.25,Florida
2021-04-30,8846902.34,62.24,2.78,200.06,7.38,0,0,10089436.26,8028809.01,Florida
2021-05-07,9838332.87,65.62,2.83,200.0,7.38,0,0,10163971.07,8103343.82,Florida
2021-05-14,9194496.5,67.85,2.85,199.99,7.38,0,0,10778760.53,8718133.28,Florida
2021-05-21,9097472.67,69.85,2.82,200.21,7.38,0,0,10448424.4,8387797.16,Florida
2021-05-28,9420210.18,74.74,2.76,200.42,7.38,0,0,10437471.5,8376844.26,Florida
2021-06-04,10267000.09,75.54,2.7,200.64,7.38,0,0,10632043.44,8571416.19,Florida
2021-06-11,9712162.84,79.6,2.67,200.86,7.38,0,0,10709662.62,8649035.38,Florida
2021-06-18,9653918.58,79.69,2.64,200.86,7.38,0,0,10517303.79,8456676.54,Florida
2021-06-25,9380473.56,81.13,2.66,200.77,7.38,0,0,10604055.63,8543428.39,Florida
2021-07-02,9781355.29,77.3,2.68,200.69,7.32,0,0,10884791.52,8824164.27,Florida
2021-07-09,9494667.32,77.36,2.65,200.6,7.32,0,0,10338213.59,8277586.35,Florida
2021-07-16,9266625.08,80.18,2.63,200.6,7.32,0,0,10247702.87,8187075.63,Florida
2021-07-23,9046481.32,81.01,2.62,200.73,7.32,0,0,10529418.75,8468791.51,Florida
2021-07-30,8981580.67,79.31,2.65,200.85,7.32,0,0,10498123.91,8437496.67,Florida
2021-08-06,9904030.1,82.25,2.64,200.97,7.32,0,0,10208745.22,8148117.98,Florida
2021-08-13,9532621.86,82.47,2.7,201.09,7.32,0,0,10354302.36,8293675.12,Florida
2021-08-20,9605815.89,82.5,2.67,201.07,7.32,0,0,10823823.53,8763196.29,Florida
2021-08-27,9212722.97,80.24,2.63,201.04,7.32,0,0,10365384.09,8304756.85,Florida
2021-09-03,9524677.07,77.63,2.6,201.02,7.32,0,0,10042284.91,7981657.66,Florida
2021-09-10,9147459.54,74.59,2.59,200.99,7.32,1,0,10203721.97,8143094.73,Florida
2021-09-17,8867967.89,75.62,2.61,201.02,7.32,0,0,10141135.53,8080508.29,Florida
2021-09-24,8526022.35,72.5,2.64,201.1,7.32,0,0,9838308.94,7777681.69,Florida
2021-10-01,8842818.47,67.58,2.62,201.17,7.4,0,0,9836734.1,7776106.85,Florida
2021-10-08,9211235.27,62.72,2.65,201.25,7.4,0,0,10261806.46,8201179.22,Florida
2021-10-15,8836643.31,63.06,2.73,201.32,7.4,0,0,9936089.61,7875462.36,Florida
2021-10-22,8752805.19,65.09,2.73,201.36,7.4,0,0,9953996.23,7893368.99,Florida
2021-10-29,8937296.1,62.55,2.72,201.41,7.4,0,0,10324297.44,8263670.2,Florida
2021-11-05,9683413.24,57.09,2.69,201.46,7.4,0,0,10943639.57,8883012.32,Florida
2021-11-12,9535055.29,55.31,2.73,201.51,7.4,0,0,10896170.66,8835543.42,Florida
2021-11-19,9615064.03,48.1,2.77,201.43,7.4,0,0,11369598.26,9308971.01,Florida
2021-11-26,13590154.65,56.16,2.74,201.32,7.4,1,1,12379180.22,10318552.98,Florida
2021-12-03,10248067.48,46.33,2.71,201.21,7.4,0,1,12922249.38,10861622.13,Florida
2021-12-10,11305950.33,43.88,2.83,201.1,7.4,0,0,12722494.93,10661867.68,Florida
2021-12-17,12818699.91,46.16,2.86,201.07,7.4,0,0,12909680.56,10849053.31,Florida
2021-12-24,16580360.63,48.38,2.87,201.09,7.4,0,1,12213972.19,10153344.95,Florida
2021-12-31,9020460.68,43.01,2.93,201.12,7.4,1,1,11736698.32,9676071.08,Florida
2022-01-07,9105500.57,41.05,2.97,201.14,7.2,0,1,11446925.34,9386298.1,Florida
2022-01-14,8763720.61,33.36,2.98,201.2,7.2,0,1,11497267.58,9436640.33,Florida
2022-01-21,8650856.86,42.03,3.01,201.52,7.2,0,0,10164417.06,8103789.81,Florida
2022-01-28,8516691.48,39.86,3.01,201.84,7.2,0,0,10277285.61,8216658.36,Florida
2022-02-04,9985425.58,33.06,2.99,202.16,7.2,0,0,10587907.7,8527280.46,Florida
2022-02-11,10345870.29,32.97,3.02,202.48,7.2,1,0,10760976.13,8700348.89,Florida
2022-02-18,10694227.08,52.2,3.05,202.74,7.2,0,1,10653410.04,8592782.8,Florida
2022-02-25,9459992.36,54.9,3.07,202.99,7.2,0,0,10978867.22,8918239.97,Florida
2022-03-04,10018724.1,53.95,3.28,203.23,7.2,0,0,11328877.71,9268250.47,Florida
2022-03-11,9641600.76,50.72,3.45,203.48,7.2,0,0,10731082.35,8670455.11,Florida
2022-03-18,10034043.69,58.22,3.48,203.7,7.2,0,0,10473490.73,8412863.48,Florida
2022-03-25,9249829.07,63.02,3.47,203.91,7.2,0,0,10719184.38,8658557.14,Florida
2022-04-01,9256766.09,54.99,3.52,204.11,7.08,0,0,10708143.83,8647516.58,Florida
2022-04-08,9774772.26,64.18,3.61,204.32,7.08,0,0,10371731.5,8311104.25,Florida
2022-04-15,9359985.05,65.27,3.73,204.51,7.08,0,0,10427723.11,8367095.86,Florida
2022-04-22,9984964.71,67.33,3.79,204.66,7.08,0,0,10907852.21,8847224.96,Florida
2022-04-29,9030420.97,66.01,3.79,204.81,7.08,0,0,10422969.82,8362342.57,Florida
2022-05-06,9665136.92,59.81,3.88,204.96,7.08,0,0,10230310.97,8169683.73,Florida
2022-05-13,9425062.82,71.37,3.88,205.1,7.08,0,0,10599140.9,8538513.65,Florida
2022-05-20,8958052.67,66.29,3.9,204.92,7.08,0,0,10588757.45,8528130.21,Florida
2022-05-27,9309846.9,73.8,3.79,204.74,7.08,0,0,10485195.51,8424568.26,Florida
2022-06-03,10121931.64,78.9,3.7,204.55,7.08,0,0,10572231.41,8511604.17,Florida
2022-06-10,9955805.08,80.09,3.66,204.37,7.08,0,0,11098320.15,9037692.9,Florida
2022-06-17,10049193.86,82.22,3.64,204.34,7.08,0,0,10809192.21,8748564.97,Florida
2022-06-24,9513540.26,80.37,3.6,204.42,7.08,0,0,10707025.44,8646398.19,Florida
2022-07-01,9922013.97,83.18,3.53,204.51,7.1,0,0,10859020.49,8798393.25,Florida
2022-07-08,10029620.47,83.35,3.49,204.6,7.1,0,0,10724690.01,8664062.77,Florida
2022-07-15,9478366.02,83.94,3.57,204.68,7.1,0,0,10487577.97,8426950.72,Florida
2022-07-22,9366034.12,83.33,3.64,204.75,7.1,0,0,10615278.19,8554650.95,Florida
2022-07-29,9059016.22,84.8,3.66,204.82,7.1,0,0,11062328.35,9001701.1,Florida
2022-08-05,10133116.06,86.07,3.67,204.89,7.1,0,0,10538264.31,8477637.06,Florida
2022-08-12,9646593.83,85.23,3.62,204.96,7.1,0,0,10435029.36,8374402.11,Florida
2022-08-19,9865695.06,83.82,3.55,205.03,7.1,0,0,10721850.77,8661223.53,Florida
2022-08-26,9456635.53,84.23,3.52,205.1,7.1,0,0,10738212.23,8677584.99,Florida
2022-09-02,9639407.9,83.74,3.53,205.17,7.1,0,0,10316148.73,8255521.48,Florida
2022-09-09,9553921.17,73.17,3.55,205.24,7.1,1,0,10296654.3,8236027.05,Florida
2022-09-16,9217070.94,74.93,3.53,205.4,7.1,0,0,10747958.43,8687331.18,Florida
2022-09-23,8922378.01,71.57,3.48,205.68,7.1,0,0,10275878.78,8215251.54,Florida
2022-09-30,8749284.8,74.91,3.38,205.96,7.1,0,0,10156251.61,8095624.36,Florida
2022-10-07,9839153.99,67.46,3.31,206.24,6.8,0,0,10399215.43,8338588.19,Florida
2022-10-14,9247541.36,65.13,3.3,206.5,6.8,0,0,10559827.05,8499199.81,Florida
2022-10-21,9685704.2,62.27,3.38,206.65,6.8,0,0,10470703.36,8410076.12,Florida
2022-10-28,9434805.1,60.8,3.39,206.79,6.8,0,0,10743303.71,8682676.47,Florida
2022-11-04,10384876.75,51.39,3.35,206.94,6.8,0,0,11787928.18,9727300.94,Florida
2022-11-11,10042218.68,53.07,3.32,207.08,6.8,0,0,11517345.8,9456718.56,Florida
2022-11-18,9896639.22,56.32,3.33,207.27,6.8,0,0,11675272.03,9614644.79,Florida
2022-11-25,13965855.33,54.3,3.26,207.47,6.8,1,1,12380887.13,10320259.89,Florida
2022-12-02,10448928.03,44.63,3.2,207.68,6.8,0,1,13212923.85,11152296.6,Florida
2022-12-09,11674874.33,37.08,3.18,207.88,6.8,0,0,12952267.46,10891640.22,Florida
2022-12-16,12554247.94,45.13,3.17,208.07,6.8,0,0,13019735.76,10959108.52,Florida
2022-12-23,16252658.24,42.06,3.12,208.24,6.8,0,1,12770515.2,10709887.95,Florida
2022-12-30,9961330.48,40.22,3.13,208.41,6.8,1,1,12116023.1,10055395.86,Florida
2023-01-06,9608069.32,44.17,3.15,208.58,6.41,0,0,11560760.54,9500133.3,Florida
2023-01-13,9035641.39,40.48,3.24,208.75,6.41,0,1,11464171.22,9403543.98,Florida
2023-01-20,8962946.71,48.88,3.24,208.84,6.41,0,0,10695887.17,8635259.92,Florida
2023-01-27,8671722.94,48.17,3.26,208.92,6.41,0,0,10635873.3,8575246.05,Florida
2023-02-03,10058259.84,49.99,3.32,209.0,6.41,0,0,10789033.66,8728406.41,Florida
2023-02-10,10918194.33,41.7,3.38,209.08,6.41,1,0,11431818.03,9371190.79,Florida
2023-02-17,11284939.9,42.37,3.46,209.22,6.41,0,1,11179403.79,9118776.54,Florida
2023-02-24,9919343.82,50.52,3.51,209.4,6.41,0,0,11315553.67,9254926.42,Florida
2023-03-03,10349462.06,53.62,3.58,209.57,6.41,0,0,11519277.31,9458650.07,Florida
2023-03-10,10291510.29,53.28,3.63,209.75,6.41,0,0,11368810.47,9308183.23,Florida
2023-03-17,10508458.67,59.16,3.7,209.89,6.41,0,0,11163489.06,9102861.81,Florida
2023-03-24,9664462.49,58.94,3.77,209.97,6.41,0,0,11291870.79,9231243.55,Florida
2023-03-31,9908450.93,65.74,3.83,210.06,6.41,0,0,11640852.67,9580225.42,Florida
2023-04-07,11591396.5,66.32,3.88,210.15,6.23,0,1,11067070.02,9006442.77,Florida
2023-04-14,10057167.95,66.26,3.89,210.23,6.23,0,0,10887973.96,8827346.72,Florida
2023-04-21,9606665.19,64.44,3.88,210.27,6.23,0,0,11183360.93,9122733.68,Florida
